training started: May09_22-17-36
epoch: 0, train:  0.240, valid:  0.507, best:  0.507, date: May09_22-21-58
epoch: 1, train:  0.518, valid:  0.676, best:  0.676, date: May09_22-26-17
epoch: 2, train:  0.585, valid:  0.714, best:  0.714, date: May09_22-30-37
epoch: 3, train:  0.636, valid:  0.724, best:  0.724, date: May09_22-34-58
epoch: 4, train:  0.646, valid:  0.741, best:  0.741, date: May09_22-39-18
epoch: 5, train:  0.663, valid:  0.737, best:  0.741, date: May09_22-43-38
epoch: 6, train:  0.667, valid:  0.719, best:  0.741, date: May09_22-47-59
epoch: 7, train:  0.629, valid:  0.736, best:  0.741, date: May09_22-52-20
epoch: 8, train:  0.664, valid:  0.477, best:  0.741, date: May09_22-56-41
epoch: 9, train:  0.665, valid:  0.714, best:  0.741, date: May09_23-01-02
epoch: 10, train:  0.698, valid:  0.753, best:  0.753, date: May09_23-05-23
epoch: 11, train:  0.705, valid:  0.750, best:  0.753, date: May09_23-09-43
epoch: 12, train:  0.721, valid:  0.490, best:  0.753, date: May09_23-14-03
epoch: 13, train:  0.712, valid:  0.754, best:  0.754, date: May09_23-18-25
epoch: 14, train:  0.719, valid:  0.764, best:  0.764, date: May09_23-22-46
epoch: 15, train:  0.719, valid:  0.733, best:  0.764, date: May09_23-27-07
epoch: 16, train:  0.732, valid:  0.764, best:  0.764, date: May09_23-31-28
epoch: 17, train:  0.732, valid:  0.759, best:  0.764, date: May09_23-35-49
epoch: 18, train:  0.723, valid:  0.787, best:  0.787, date: May09_23-40-11
epoch: 19, train:  0.739, valid:  0.790, best:  0.790, date: May09_23-44-32
epoch: 20, train:  0.746, valid:  0.769, best:  0.790, date: May09_23-48-53
epoch: 21, train:  0.742, valid:  0.791, best:  0.791, date: May09_23-53-15
epoch: 22, train:  0.730, valid:  0.745, best:  0.791, date: May09_23-57-36
epoch: 23, train:  0.741, valid:  0.772, best:  0.791, date: May10_00-01-57
epoch: 24, train:  0.741, valid:  0.808, best:  0.808, date: May10_00-06-18
epoch: 25, train:  0.750, valid:  0.787, best:  0.808, date: May10_00-10-39
epoch: 26, train:  0.757, valid:  0.786, best:  0.808, date: May10_00-15-00
epoch: 27, train:  0.765, valid:  0.768, best:  0.808, date: May10_00-19-21
