available cuda: 2
training started: Jun09_13-50-49
epoch:00, train:0.971, valid:0.777, threshold: [0.88517614 1.08736552 1.76350423 2.4153188  3.29946877], score:0.645, best:0.645, date:Jun09_14-02-31
epoch:01, train:0.772, valid:1.366, threshold: [0.74227949 1.21090799 1.47175572 2.15220954 5.24616226], score:0.558, best:0.645, date:Jun09_14-13-58
epoch:02, train:0.712, valid:0.681, threshold: [0.80975    1.45962869 1.9923009  2.24312976 2.73910962], score:0.626, best:0.645, date:Jun09_14-25-27
epoch:03, train:0.695, valid:0.559, threshold: [0.62850162 1.55178385 1.98858555 2.37798334 3.38927857], score:0.670, best:0.670, date:Jun09_14-36-58
epoch:04, train:0.657, valid:0.560, threshold: [0.70071152 1.14833517 1.40243498 2.63022016 5.52151864], score:0.739, best:0.739, date:Jun09_14-48-24
epoch:05, train:0.655, valid:1.189, threshold: [0.56465387 1.73793505 3.03395472 3.570405   4.82746154], score:0.681, best:0.739, date:Jun09_14-59-51
epoch:06, train:0.666, valid:0.747, threshold: [0.95048822 1.02275628 1.48090518 2.05466271 2.61569797], score:0.603, best:0.739, date:Jun09_15-11-21
epoch:07, train:0.636, valid:0.593, threshold: [0.68290516 1.5531851  1.78198323 2.34913278 5.24040957], score:0.760, best:0.760, date:Jun09_15-22-52
epoch:08, train:0.627, valid:0.522, threshold: [0.97118517 1.2797176  1.83354401 2.12893246 3.29033868], score:0.789, best:0.789, date:Jun09_15-34-19
epoch:09, train:0.609, valid:0.455, threshold: [0.70324053 1.11366064 1.76974402 2.54152828 5.48521066], score:0.794, best:0.794, date:Jun09_15-45-48
epoch:10, train:0.561, valid:0.452, threshold: [0.84200754 1.50117368 1.67361115 2.34368105 2.85533421], score:0.789, best:0.794, date:Jun09_15-57-18
epoch:11, train:0.573, valid:0.482, threshold: [1.06794352 1.75955482 2.20228237 2.69772588 3.97991301], score:0.797, best:0.797, date:Jun09_16-08-49
epoch:12, train:0.568, valid:0.653, threshold: [0.6026723  1.64218901 2.38165599 2.70331604 4.30639279], score:0.817, best:0.817, date:Jun09_16-20-17
epoch:13, train:0.576, valid:0.611, threshold: [0.80615441 1.62085762 1.99471657 2.60583166 3.6977934 ], score:0.821, best:0.821, date:Jun09_16-31-46
epoch:14, train:0.558, valid:0.445, threshold: [0.64386993 1.27589113 1.71758667 2.37613417 5.72524586], score:0.808, best:0.821, date:Jun09_16-43-17
epoch:15, train:0.543, valid:0.401, threshold: [0.67975015 1.61656487 1.83923235 2.56887797 4.8537226 ], score:0.821, best:0.821, date:Jun09_16-54-48
epoch:16, train:0.555, valid:0.435, threshold: [0.5949365  1.18673211 1.71811664 2.05183634 5.77830316], score:0.818, best:0.821, date:Jun09_17-06-16
epoch:17, train:0.540, valid:0.400, threshold: [0.69403931 1.48893524 1.89192443 2.67157428 3.82471011], score:0.837, best:0.837, date:Jun09_17-17-46
epoch:18, train:0.543, valid:0.368, threshold: [0.71659764 1.51309673 2.15140402 2.71659386 3.53914856], score:0.842, best:0.842, date:Jun09_17-29-14
epoch:19, train:0.544, valid:0.373, threshold: [0.63207361 1.61435067 1.89415483 2.50597363 4.43903906], score:0.837, best:0.842, date:Jun09_17-40-40
epoch:20, train:0.526, valid:0.412, threshold: [0.72474141 1.40093382 1.82504098 2.63824019 4.078104  ], score:0.842, best:0.842, date:Jun09_17-52-13
epoch:21, train:0.519, valid:0.364, threshold: [0.73695409 1.57182314 1.99026284 2.64940486 3.39578689], score:0.834, best:0.842, date:Jun09_18-03-41
epoch:22, train:0.510, valid:0.386, threshold: [0.56583283 1.68530258 1.93346643 2.24997092 5.30676196], score:0.808, best:0.842, date:Jun09_18-15-10
epoch:23, train:0.505, valid:0.342, threshold: [0.58132403 1.73565916 2.0372676  2.66183402 4.74614697], score:0.841, best:0.842, date:Jun09_18-26-41
epoch:24, train:0.502, valid:0.324, threshold: [0.6084252  1.60736906 2.29628958 2.95234463 4.02751453], score:0.852, best:0.852, date:Jun09_18-38-11
epoch:25, train:0.503, valid:0.361, threshold: [0.70256884 1.6885597  2.06844149 2.60239377 4.26745582], score:0.850, best:0.852, date:Jun09_18-49-41
epoch:26, train:0.505, valid:0.340, threshold: [0.6848673  1.58953137 2.05510454 2.43652327 3.96432902], score:0.840, best:0.852, date:Jun09_19-01-11
epoch:27, train:0.489, valid:0.349, threshold: [0.71205221 1.56057707 2.13790765 2.41902027 4.5917223 ], score:0.843, best:0.852, date:Jun09_19-12-41
epoch:28, train:0.496, valid:0.351, threshold: [0.77554931 1.45114763 1.81034666 2.55681997 3.77623099], score:0.854, best:0.854, date:Jun09_19-24-09
epoch:29, train:0.488, valid:0.386, threshold: [0.64589186 1.36808334 1.87880164 2.35268677 3.28381315], score:0.844, best:0.854, date:Jun09_19-35-44
epoch:30, train:0.482, valid:0.321, threshold: [0.72730946 1.51926777 2.0356218  2.53466565 3.71227145], score:0.856, best:0.856, date:Jun09_19-47-15
epoch:31, train:0.484, valid:0.304, threshold: [0.62309523 1.62953918 2.14167318 2.83518607 4.18137667], score:0.864, best:0.864, date:Jun09_19-58-46
