available cuda: 2
Loaded pretrained weights for efficientnet-b1
training started: Jun10_18-42-39
epoch:00, train:0.952, valid:0.661, threshold: [0.52256115 1.71216426 2.46433287 3.11535674 3.9842181 ], score:0.732, best:0.732, date:Jun10_18-51-06
epoch:01, train:0.669, valid:0.586, threshold: [0.74938411 1.51431722 1.78268625 2.16198319 5.04562622], score:0.691, best:0.732, date:Jun10_18-59-23
epoch:02, train:0.635, valid:0.631, threshold: [0.60343807 1.57653242 1.93439721 2.27264041 4.23625233], score:0.638, best:0.732, date:Jun10_19-07-37
epoch:03, train:0.603, valid:0.410, threshold: [0.63422385 1.17928847 1.83479675 2.80193593 3.55174846], score:0.802, best:0.802, date:Jun10_19-15-53
epoch:04, train:0.595, valid:0.510, threshold: [0.62813083 1.12701612 1.64004611 1.9877217  5.67510535], score:0.783, best:0.802, date:Jun10_19-24-09
epoch:05, train:0.571, valid:0.486, threshold: [0.67472287 1.30293063 1.59630475 2.36983084 2.83299233], score:0.777, best:0.802, date:Jun10_19-32-28
epoch:06, train:0.579, valid:0.504, threshold: [0.6254045  1.14612997 1.57096022 2.07394441 5.41608363], score:0.800, best:0.802, date:Jun10_19-40-45
epoch:07, train:0.564, valid:0.643, threshold: [0.56591316 1.46200406 1.9216732  3.54685573 4.86784761], score:0.585, best:0.802, date:Jun10_19-49-04
epoch:08, train:0.561, valid:0.514, threshold: [0.71220905 1.19895509 1.59119442 2.03118208 4.4764261 ], score:0.788, best:0.802, date:Jun10_19-57-18
epoch:09, train:0.549, valid:0.471, threshold: [0.82938021 1.42701891 1.76580247 2.43753091 5.49341953], score:0.798, best:0.802, date:Jun10_20-05-34
epoch:10, train:0.535, valid:0.378, threshold: [0.65526411 1.59634392 2.11902948 2.45163311 4.8948955 ], score:0.813, best:0.813, date:Jun10_20-13-50
epoch:11, train:0.518, valid:0.342, threshold: [0.60887405 1.51723834 2.23784197 2.87116373 4.90758742], score:0.826, best:0.826, date:Jun10_20-22-08
epoch:12, train:0.516, valid:0.345, threshold: [0.74324965 1.59464274 2.0356569  2.59655457 3.42869432], score:0.854, best:0.854, date:Jun10_20-30-23
epoch:13, train:0.514, valid:0.395, threshold: [0.7324853  1.23513947 1.83703264 2.24307566 4.57329981], score:0.832, best:0.854, date:Jun10_20-38-38
epoch:14, train:0.482, valid:0.342, threshold: [0.81025359 1.5324145  2.02942924 2.44774605 3.52008506], score:0.855, best:0.855, date:Jun10_20-46-54
epoch:15, train:0.503, valid:0.335, threshold: [0.6711571  1.48784803 2.12791684 2.62893455 3.67250504], score:0.856, best:0.856, date:Jun10_20-55-08
epoch:16, train:0.497, valid:0.336, threshold: [0.67901523 1.55874749 1.88481034 2.65038913 3.87043096], score:0.849, best:0.856, date:Jun10_21-03-22
epoch:17, train:0.484, valid:0.313, threshold: [0.59205693 1.69253381 2.51452341 3.03323552 3.7388635 ], score:0.847, best:0.856, date:Jun10_21-11-37
epoch:18, train:0.485, valid:0.312, threshold: [0.80925586 1.84256372 2.59522506 2.86783406 3.65485399], score:0.860, best:0.860, date:Jun10_21-19-55
epoch:19, train:0.489, valid:0.364, threshold: [0.6021284  1.79218921 2.09134861 2.91454169 3.28537611], score:0.845, best:0.860, date:Jun10_21-28-11
epoch:20, train:0.470, valid:0.345, threshold: [0.76284222 1.53375275 1.87213161 2.65864117 3.60360634], score:0.865, best:0.865, date:Jun10_21-36-31
epoch:21, train:0.465, valid:0.321, threshold: [0.69874012 1.42426776 1.89441962 2.53939911 3.52425691], score:0.864, best:0.865, date:Jun10_21-44-46
epoch:22, train:0.464, valid:0.333, threshold: [0.63111404 1.53673191 1.98830844 2.35070544 4.99009386], score:0.847, best:0.865, date:Jun10_21-53-05
epoch:23, train:0.465, valid:0.330, threshold: [0.54565904 1.38216821 1.99045901 2.37625236 5.22668606], score:0.847, best:0.865, date:Jun10_22-01-23
epoch:24, train:0.462, valid:0.300, threshold: [0.66583884 1.5433626  2.00779583 2.93769265 4.31756914], score:0.862, best:0.865, date:Jun10_22-09-40
epoch:25, train:0.457, valid:0.352, threshold: [0.73911688 1.32285065 1.6143184  2.31401986 3.30140996], score:0.853, best:0.865, date:Jun10_22-17-57
epoch:26, train:0.448, valid:0.321, threshold: [0.60603988 1.55828209 2.23383548 2.59284808 3.44519455], score:0.869, best:0.869, date:Jun10_22-26-15
epoch:27, train:0.456, valid:0.333, threshold: [0.63354827 1.56937956 2.16585414 2.58506933 4.85746244], score:0.847, best:0.869, date:Jun10_22-34-32
